"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
Back,Back
"Credentials was uploaded.","Credentials was uploaded."
Autofill,Autofill
"Test Connection","Test Connection"
"Blacklist email was deleted.","Blacklist email was deleted."
"We can't delete the blacklist email right now. Please review the log and try again.","We can't delete the blacklist email right now. Please review the log and try again."
"We can't find a blacklist email to delete.","We can't find a blacklist email to delete."
"New Blacklist Email","New Blacklist Email"
"Editing Blacklist Email %1","Editing Blacklist Email %1"
"This blacklist email no longer exists.","This blacklist email no longer exists."
Marketing,Marketing
Blacklist,Blacklist
"%1 blacklist email(s) has been successfully deleted","%1 blacklist email(s) has been successfully deleted"
"%1 blacklist email(s) has been failed to delete","%1 blacklist email(s) has been failed to delete"
"Something went wrong while deleting blacklists email(s). Please review the error log.","Something went wrong while deleting blacklists email(s). Please review the error log."
"You saved the blacklist record.","You saved the blacklist record."
"Something went wrong while saving the blacklist data. Please review the error log.","Something went wrong while saving the blacklist data. Please review the error log."
"Connection Successful!","Connection Successful!"
"Please, check module/application settings. Error: %1","Please, check module/application settings. Error: %1"
"Debug log has been cleared.","Debug log has been cleared."
Reports,Reports
"SMTP Debug Log","SMTP Debug Log"
"Emails log has been cleared.","Emails log has been cleared."
"Sent Emails Log","Sent Emails Log"
"This log message no longer exists.","This log message no longer exists."
"View Message","View Message"
"Invalid authentication code","Invalid authentication code"
"Invalid state string","Invalid state string"
"Invalid internal token","Invalid internal token"
"Black list with with specified %1 ""%2"" not found.","Black list with with specified %1 ""%2"" not found."
"Unable to save the black list. Error: %1","Unable to save the black list. Error: %1"
"Unable to delete the blacklist email. Error: %1","Unable to delete the blacklist email. Error: %1"
"Authentication Not Required","Authentication Not Required"
"Login/Password (Deprecated for Microsoft)","Login/Password (Deprecated for Microsoft)"
"OAUTH2 Client ID (Google)","OAUTH2 Client ID (Google)"
"OAUTH2 Service Account (Google)","OAUTH2 Service Account (Google)"
"OAUTH2 Client ID (Microsoft)","OAUTH2 Client ID (Microsoft)"
None,None
SSL,SSL
TLS,TLS
Pending,Pending
"Successfully Sent","Successfully Sent"
Failed,Failed
Blacklisted,Blacklisted
"Starting to auto clear debug log (after %1 days)","Starting to auto clear debug log (after %1 days)"
"Unable to authenticate: %1","Unable to authenticate: %1"
"Invalid Microsoft response code: %1","Invalid Microsoft response code: %1"
"Unable to fetch Microsoft access token: %1","Unable to fetch Microsoft access token: %1"
"Unable to fetch Microsoft refresh token: %1","Unable to fetch Microsoft refresh token: %1"
"Ready to send e-mail at amsmtp/transport::sendMessage()","Ready to send e-mail at amsmtp/transport::sendMessage()"
"Error sending e-mail: email %1 is in blacklist.","Error sending e-mail: email %1 is in blacklist."
"E-mail sent successfully at amsmtp/transport::sendMessage().","E-mail sent successfully at amsmtp/transport::sendMessage()."
"Actual delivery disabled under settings.","Actual delivery disabled under settings."
"Error sending e-mail: %1","Error sending e-mail: %1"
"Preparing to send test e-mail to %1 from %2","Preparing to send test e-mail to %1 from %2"
"Amasty SMTP Email Test Message","Amasty SMTP Email Test Message"
"If you see this e-mail, your configuration is OK.","If you see this e-mail, your configuration is OK."
"Test e-mail was sent successfully!","Test e-mail was sent successfully!"
"Test e-mail failed: %1","Test e-mail failed: %1"
"Connection test successful: connected to %1","Connection test successful: connected to %1"
"Connection failed","Connection failed"
"'Sender Email' or 'Sender Name' is empty. Please ensure that all values in the 'General Contact' section are correctly set by visiting Stores > Configuration > General > Store Email Addresses.","'Sender Email' or 'Sender Name' is empty. Please ensure that all values in the 'General Contact' section are correctly set by visiting Stores > Configuration > General > Store Email Addresses."
"The type of URL you want to generate is not selected!","The type of URL you want to generate is not selected!"
View,View
"Please note that ""SMTP for E-mail extension"" is disabled.","Please note that ""SMTP for E-mail extension"" is disabled."
"Please save the configuration before testing connection.","Please save the configuration before testing connection."
"Debug info","Debug info"
Date,Date
Subject,Subject
To,To
Body,Body
"Microsoft Auth","Microsoft Auth"
"Something went wrong","Something went wrong"
"Test connection results","Test connection results"
OK,OK
"SMTP Email Settings","SMTP Email Settings"
"General Settings","General Settings"
"Enable SMTP For E-mail","Enable SMTP For E-mail"
"When disabled, the extension has no impact on Magento e-mail sending routines.","When disabled, the extension has no impact on Magento e-mail sending routines."
"Log Outgoing Mail","Log Outgoing Mail"
"Makes it possible to see the list of all e-mails ever sent through Magento, including email contents.","Makes it possible to see the list of all e-mails ever sent through Magento, including email contents."
"Enable Debug Mode","Enable Debug Mode"
"When enabled, all debug information is logged. Recommended not to use on production sites.","When enabled, all debug information is logged. Recommended not to use on production sites."
"Disable E-mail Delivery","Disable E-mail Delivery"
"Set to ""Yes"" to not actually send e-mails. Useful when logging is enabled, for debug/development purposes.","Set to ""Yes"" to not actually send e-mails. Useful when logging is enabled, for debug/development purposes."
"SMTP Configuration","SMTP Configuration"
"SMTP Provider","SMTP Provider"
"Pre-defined SMTP providers","Pre-defined SMTP providers"
"Server Address","Server Address"
"Either host name or IP address","Either host name or IP address"
Port,Port
"Usually is 25, 587 or 465. Please consult with your service provider.","Usually is 25, 587 or 465. Please consult with your service provider."
"Authentication Method","Authentication Method"
Login,Login
Password,Password
"Client Email","Client Email"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Refresh Token","Refresh Token"
"G-Suite User Email","G-Suite User Email"
"Service Email","Service Email"
"Sender Email","Sender Email"
"Application (Client) ID","Application (Client) ID"
"Directory (Tenant) ID","Directory (Tenant) ID"
"Service Account Credentials","Service Account Credentials"
"Connection Security","Connection Security"
"Use Another Email Sender","Use Another Email Sender"
"Be careful! Use Sender with the same domain from where you send mail. Otherwise, your mail server can get into the ban because of spam.","Be careful! Use Sender with the same domain from where you send mail. Otherwise, your mail server can get into the ban because of spam."
"Sender Name","Sender Name"
"Send Test E-mail To","Send Test E-mail To"
"Automatic Log Clearing","Automatic Log Clearing"
"Clear Sent Emails Log After","Clear Sent Emails Log After"
"Automatically remove old log records after specified number of days. If set to 0, will not auto clean.","Automatically remove old log records after specified number of days. If set to 0, will not auto clean."
"Clear Debug Log After","Clear Debug Log After"
"Blacklist Emails","Blacklist Emails"
"Enable Blacklist","Enable Blacklist"
"Set to `Yes` to block emails from being sent to blacklisted email addresses.","Set to `Yes` to block emails from being sent to blacklisted email addresses."
Save,Save
"Save and Continue Edit","Save and Continue Edit"
General,General
Email,Email
"Add Email","Add Email"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
ID,ID
Edit,Edit
"Clear Debug Log","Clear Debug Log"
Message,Message
"Clear Sent Emails Log","Clear Sent Emails Log"
"Recipient Email","Recipient Email"
Status,Status
